FilePath	LastWriteTime	AlignFrom	AlignTime	Result	Message
\\personalcloud.local\Public\K00Y (媽媽平板)\tmp_1452942854897.jpg	2016-01-16 19:14:21	None	None	None	
\\personalcloud.local\Public\K00Y (媽媽平板)\tmp_1457070298122.jpg	2016-03-04 13:45:23	None	None	None	
\\personalcloud.local\Public\K00Y (媽媽平板)\114_FUJI\DSCF4496.JPG	2014-11-02 14:42:09	None	None	None	
\\personalcloud.local\Public\K00Y (媽媽平板)\114_FUJI\DSCF4497.JPG	2014-11-02 14:42:39	None	None	None	
\\personalcloud.local\Public\K00Y (媽媽平板)\Camera\P_20140703_085328.jpg	2014-07-03 08:53:27	None	None	None	
\\personalcloud.local\Public\K00Y (媽媽平板)\Camera\P_20140703_085330.jpg	2014-07-03 08:53:30	None	None	None	
\\personalcloud.local\Public\K00Y (媽媽平板)\Camera\P_20140703_093202.jpg	2014-07-03 09:32:01	None	None	None	
\\personalcloud.local\Public\K00Y (媽媽平板)\Camera\P_20140703_093255.jpg	2014-07-03 09:32:54	None	None	None	
\\personalcloud.local\Public\K00Y (媽媽平板)\Camera\P_20140719_171757.jpg	2014-07-19 17:17:56	None	None	None	
\\personalcloud.local\Public\K00Y (媽媽平板)\Camera\P_20140721_184530.jpg	2014-07-21 18:45:28	None	None	None	
\\personalcloud.local\Public\K00Y (媽媽平板)\Camera\P_20140823_120831.jpg	2014-08-23 12:08:29	None	None	None	
\\personalcloud.local\Public\K00Y (媽媽平板)\Camera\P_20140823_120832.jpg	2014-08-23 12:08:31	None	None	None	
\\personalcloud.local\Public\K00Y (媽媽平板)\Camera\P_20140908_115620.jpg	2014-09-08 11:56:19	None	None	None	
\\personalcloud.local\Public\K00Y (媽媽平板)\Camera\P_20140908_115624.jpg	2014-09-08 11:56:22	None	None	None	
\\personalcloud.local\Public\K00Y (媽媽平板)\Camera\P_20140908_115633.jpg	2014-09-08 11:56:31	None	None	None	
\\personalcloud.local\Public\K00Y (媽媽平板)\Camera\P_20140908_115727.jpg	2014-09-08 11:57:26	None	None	None	
\\personalcloud.local\Public\K00Y (媽媽平板)\Camera\P_20141108_102112.jpg	2014-11-08 10:21:12	None	None	None	
\\personalcloud.local\Public\K00Y (媽媽平板)\Camera\P_20141108_102124.jpg	2014-11-08 10:21:24	None	None	None	
\\personalcloud.local\Public\K00Y (媽媽平板)\Camera\P_20150221_130407.jpg	2015-02-21 13:04:05	None	None	None	
\\personalcloud.local\Public\K00Y (媽媽平板)\Camera\P_20150322_195625.jpg	2015-03-22 19:56:24	None	None	None	
\\personalcloud.local\Public\K00Y (媽媽平板)\Camera\P_20150403_191705.jpg	2015-04-03 19:17:04	None	None	None	
\\personalcloud.local\Public\K00Y (媽媽平板)\Camera\P_20150403_191711.jpg	2015-04-03 19:17:09	None	None	None	
\\personalcloud.local\Public\K00Y (媽媽平板)\Camera\P_20160116_200819.jpg	2016-01-16 20:08:17	None	None	None	
\\personalcloud.local\Public\K00Y (媽媽平板)\Camera\P_20160210_084741.jpg	2016-02-10 08:47:39	None	None	None	
\\personalcloud.local\Public\K00Y (媽媽平板)\Camera\P_20160210_084752.jpg	2016-02-10 08:47:51	None	None	None	
\\personalcloud.local\Public\K00Y (媽媽平板)\Camera\P_20160210_084755.jpg	2016-02-10 08:47:54	None	None	None	
\\personalcloud.local\Public\K00Y (媽媽平板)\Camera\P_20160210_084759.jpg	2016-02-10 08:47:57	None	None	None	
\\personalcloud.local\Public\K00Y (媽媽平板)\Camera\P_20160228_080206.jpg	2016-02-28 08:02:05	None	None	None	
\\personalcloud.local\Public\K00Y (媽媽平板)\Camera\P_20160228_143335.jpg	2016-02-28 14:33:34	None	None	None	
\\personalcloud.local\Public\K00Y (媽媽平板)\Camera\P_20160228_143525.jpg	2016-02-28 14:35:24	None	None	None	
\\personalcloud.local\Public\K00Y (媽媽平板)\Camera\P_20160228_143538.jpg	2016-02-28 14:35:37	None	None	None	
\\personalcloud.local\Public\K00Y (媽媽平板)\Camera\P_20160229_090055.jpg	2016-02-29 09:00:54	None	None	None	
\\personalcloud.local\Public\K00Y (媽媽平板)\Camera\P_20160229_090105.jpg	2016-02-29 09:01:04	None	None	None	
\\personalcloud.local\Public\K00Y (媽媽平板)\Camera\P_20160304_172813.jpg	2016-03-04 17:28:12	None	None	None	
\\personalcloud.local\Public\K00Y (媽媽平板)\Camera\P_20160304_172817.jpg	2016-03-04 17:28:16	None	None	None	
\\personalcloud.local\Public\K00Y (媽媽平板)\Camera\P_20160304_173214.jpg	2016-03-04 17:32:13	None	None	None	
\\personalcloud.local\Public\K00Y (媽媽平板)\Camera\P_20160304_173220.jpg	2016-03-04 17:32:18	None	None	None	
\\personalcloud.local\Public\K00Y (媽媽平板)\Camera\P_20160304_173931.jpg	2016-03-04 17:39:30	None	None	None	
\\personalcloud.local\Public\K00Y (媽媽平板)\Camera\P_20160304_173945.jpg	2016-03-04 17:39:44	None	None	None	
\\personalcloud.local\Public\K00Y (媽媽平板)\Camera\P_20160304_174235.jpg	2016-03-04 17:42:34	None	None	None	
\\personalcloud.local\Public\K00Y (媽媽平板)\Camera\P_20160304_174314.jpg	2016-03-04 17:43:14	None	None	None	
\\personalcloud.local\Public\K00Y (媽媽平板)\Camera\P_20160304_174446.jpg	2016-03-04 17:44:45	None	None	None	
\\personalcloud.local\Public\K00Y (媽媽平板)\Camera\P_20160304_174504.jpg	2016-03-04 17:45:03	None	None	None	
\\personalcloud.local\Public\K00Y (媽媽平板)\Camera\P_20160304_174605.jpg	2016-03-04 17:46:04	None	None	None	
\\personalcloud.local\Public\K00Y (媽媽平板)\Camera\P_20160501_074153.jpg	2016-05-01 07:41:52	None	None	None	
\\personalcloud.local\Public\K00Y (媽媽平板)\Camera\P_20160501_074200.jpg	2016-05-01 07:42:00	None	None	None	
\\personalcloud.local\Public\K00Y (媽媽平板)\Camera\P_20160501_074213.jpg	2016-05-01 07:42:12	None	None	None	
\\personalcloud.local\Public\K00Y (媽媽平板)\Camera\P_20160501_132328.jpg	2016-05-01 13:23:27	None	None	None	
\\personalcloud.local\Public\K00Y (媽媽平板)\Camera\P_20160501_132354.jpg	2016-05-01 13:23:53	None	None	None	
\\personalcloud.local\Public\K00Y (媽媽平板)\Camera\P_20160524_161004.jpg	2016-05-24 16:10:03	None	None	None	
