FilePath	LastWriteTime	AlignFrom	AlignTime	Result	Message
\\personalcloud.local\Public\Mi A1 (057f7e8c6c5e)\storage\emulated\0\bluetooth\Capture_20180708234623.png	2018-07-08 23:46:23	None	None	None	
\\personalcloud.local\Public\Mi A1 (057f7e8c6c5e)\storage\emulated\0\Download\201805151539442583 - 複製.gif	2018-05-15 15:39:44	None	None	None	
\\personalcloud.local\Public\Mi A1 (057f7e8c6c5e)\storage\emulated\0\Download\2吋電子檔.jpg	2018-03-08 03:17:26	System.Photo.DateTaken	2015-02-03 19:06:52	Success	
\\personalcloud.local\Public\Mi A1 (057f7e8c6c5e)\storage\emulated\0\Download\DAhiD6GXUAAQzea.jpg	2018-10-26 18:38:32	None	None	None	
\\personalcloud.local\Public\Mi A1 (057f7e8c6c5e)\storage\emulated\0\Download\my_photo.png	2018-09-27 00:01:49	None	None	None	
\\personalcloud.local\Public\Mi A1 (057f7e8c6c5e)\storage\emulated\0\DCIM\Camera\IMG_20171103_201300.jpg	2017-11-03 20:13:00	None	None	None	
\\personalcloud.local\Public\Mi A1 (057f7e8c6c5e)\storage\emulated\0\DCIM\Camera\IMG_20171104_103047.jpg	2017-11-04 10:30:47	None	None	None	
\\personalcloud.local\Public\Mi A1 (057f7e8c6c5e)\storage\emulated\0\DCIM\Camera\IMG_20171104_103051.jpg	2017-11-04 10:30:51	None	None	None	
\\personalcloud.local\Public\Mi A1 (057f7e8c6c5e)\storage\emulated\0\DCIM\Camera\IMG_20171104_103115.jpg	2017-11-04 10:31:15	None	None	None	
\\personalcloud.local\Public\Mi A1 (057f7e8c6c5e)\storage\emulated\0\DCIM\Camera\IMG_20171104_103119.jpg	2017-11-04 10:31:19	None	None	None	
\\personalcloud.local\Public\Mi A1 (057f7e8c6c5e)\storage\emulated\0\DCIM\Camera\IMG_20171104_103137.jpg	2017-11-04 10:31:37	None	None	None	
\\personalcloud.local\Public\Mi A1 (057f7e8c6c5e)\storage\emulated\0\DCIM\Camera\IMG_20171104_103139(1).jpg	2017-11-04 10:31:39	None	None	None	
