FilePath	LastWriteTime	AlignFrom	AlignTime	Result	Message
\\personalcloud.local\Public\Mi A1 (b9f2e1267950)\storage\1C15-075C\Downloads\a.jpg	2018-02-12 08:05:58	None	None	None	
\\personalcloud.local\Public\Mi A1 (b9f2e1267950)\storage\1C15-075C\Downloads\ink.png	2017-09-16 23:43:51	None	None	None	
\\personalcloud.local\Public\Mi A1 (b9f2e1267950)\storage\1C15-075C\Downloads\media-20171112.png	2017-11-27 00:07:42	None	None	None	
\\personalcloud.local\Public\Mi A1 (b9f2e1267950)\storage\1C15-075C\Downloads\我們懷念鄭閣樑先生.jpg	2017-12-31 20:58:10	None	None	None	
\\personalcloud.local\Public\Mi A1 (b9f2e1267950)\storage\1C15-075C\Pictures\1_10cm.jpg	2017-09-16 23:43:54	System.Photo.DateTaken	2017-05-14 00:23:42	Success	
\\personalcloud.local\Public\Mi A1 (b9f2e1267950)\storage\1C15-075C\Pictures\1_15cm.jpg	2017-09-16 23:43:55	System.Photo.DateTaken	2017-05-14 00:23:51	Success	
\\personalcloud.local\Public\Mi A1 (b9f2e1267950)\storage\1C15-075C\Pictures\1_20cm.jpg	2017-09-16 23:43:55	System.Photo.DateTaken	2017-05-14 00:23:58	Success	
\\personalcloud.local\Public\Mi A1 (b9f2e1267950)\storage\1C15-075C\Pictures\1_25cm.jpg	2017-09-16 23:43:56	System.Photo.DateTaken	2017-05-14 00:24:11	Success	
\\personalcloud.local\Public\Mi A1 (b9f2e1267950)\storage\1C15-075C\Pictures\1_30cm.jpg	2017-09-16 23:43:56	System.Photo.DateTaken	2017-05-14 00:24:18	Success	
\\personalcloud.local\Public\Mi A1 (b9f2e1267950)\storage\1C15-075C\Pictures\2_10cm.jpg	2017-09-16 23:43:56	System.Photo.DateTaken	2017-05-14 00:24:46	Success	
\\personalcloud.local\Public\Mi A1 (b9f2e1267950)\storage\1C15-075C\Pictures\2_15cm.jpg	2017-09-16 23:43:57	System.Photo.DateTaken	2017-05-14 00:24:54	Success	
\\personalcloud.local\Public\Mi A1 (b9f2e1267950)\storage\1C15-075C\Pictures\2_20cm.jpg	2017-09-16 23:43:57	System.Photo.DateTaken	2017-05-14 00:25:02	Success	
\\personalcloud.local\Public\Mi A1 (b9f2e1267950)\storage\1C15-075C\Pictures\2_25cm.jpg	2017-09-16 23:43:58	System.Photo.DateTaken	2017-05-14 00:25:07	Success	
\\personalcloud.local\Public\Mi A1 (b9f2e1267950)\storage\1C15-075C\Pictures\2_30cm.jpg	2017-09-16 23:43:58	System.Photo.DateTaken	2017-05-14 00:25:15	Success	
\\personalcloud.local\Public\Mi A1 (b9f2e1267950)\storage\1C15-075C\Pictures\3_10cm.jpg	2017-09-16 23:43:58	System.Photo.DateTaken	2017-05-14 00:25:54	Success	
\\personalcloud.local\Public\Mi A1 (b9f2e1267950)\storage\1C15-075C\Pictures\3_15cm.jpg	2017-09-16 23:43:59	System.Photo.DateTaken	2017-05-14 00:26:00	Success	
\\personalcloud.local\Public\Mi A1 (b9f2e1267950)\storage\1C15-075C\Pictures\3_20cm.jpg	2017-09-16 23:43:59	System.Photo.DateTaken	2017-05-14 00:26:06	Success	
