FilePath	LastWriteTime	AlignFrom	AlignTime	Result	Message
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0021.JPG	2016-10-11 23:26:52	None	None	None	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0022.JPG	2016-10-11 23:26:52	System.Photo.DateTaken	2012-03-16 19:55:04	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0023.JPG	2016-10-11 23:26:52	System.Photo.DateTaken	2012-03-16 19:55:14	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0024.JPG	2016-10-11 23:26:52	System.Photo.DateTaken	2012-03-16 19:55:21	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0025.JPG	2016-10-11 23:26:52	None	None	None	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0027.JPG	2016-10-11 23:26:52	System.Photo.DateTaken	2012-03-16 20:30:36	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0028.JPG	2016-10-11 23:26:52	None	None	None	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0029.JPG	2016-10-11 23:26:52	System.Photo.DateTaken	2012-03-19 18:03:57	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0037.JPG	2016-10-11 23:26:51	System.Photo.DateTaken	2012-03-19 18:54:28	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0041.JPG	2016-10-11 23:26:51	System.Photo.DateTaken	2012-03-19 18:54:54	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0052.JPG	2016-10-11 23:26:51	System.Photo.DateTaken	2012-03-19 19:00:15	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0054.JPG	2016-10-11 23:26:51	None	None	None	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0127.JPG	2016-10-11 23:26:51	System.Photo.DateTaken	2012-03-31 09:31:40	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0128.JPG	2016-10-11 23:26:51	System.Photo.DateTaken	2012-03-31 09:31:57	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0129.JPG	2016-10-11 23:26:51	System.Photo.DateTaken	2012-03-31 09:32:08	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0130.JPG	2016-10-11 23:26:51	System.Photo.DateTaken	2012-03-31 09:32:34	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0131.JPG	2016-10-11 23:26:51	System.Photo.DateTaken	2012-03-31 09:32:43	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0132.JPG	2016-10-11 23:26:51	System.Photo.DateTaken	2012-03-31 09:33:09	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0133.JPG	2016-10-11 23:26:51	System.Photo.DateTaken	2012-03-31 09:44:31	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0134.JPG	2016-10-11 23:26:51	System.Photo.DateTaken	2012-03-31 09:44:36	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0135.JPG	2016-10-11 23:26:51	System.Photo.DateTaken	2012-03-31 09:44:59	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0136.JPG	2016-10-11 23:26:51	System.Photo.DateTaken	2012-03-31 09:45:14	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0137.JPG	2016-10-11 23:26:51	System.Photo.DateTaken	2012-03-31 09:45:24	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0138.JPG	2016-10-11 23:26:51	System.Photo.DateTaken	2012-03-31 09:47:05	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0140.JPG	2016-10-11 23:26:51	System.Photo.DateTaken	2012-03-31 09:47:27	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0141.JPG	2016-10-11 23:26:51	System.Photo.DateTaken	2012-03-31 09:47:47	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0142.JPG	2016-10-11 23:26:51	System.Photo.DateTaken	2012-03-31 09:47:48	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0143.JPG	2016-10-11 23:26:51	System.Photo.DateTaken	2012-03-31 09:48:15	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0144.JPG	2016-10-11 23:26:51	System.Photo.DateTaken	2012-03-31 09:48:26	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0145.JPG	2016-10-11 23:26:51	System.Photo.DateTaken	2012-03-31 10:46:56	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0146.JPG	2016-10-11 23:26:51	System.Photo.DateTaken	2012-03-31 10:47:07	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0147.JPG	2016-10-11 23:26:51	System.Photo.DateTaken	2012-03-31 10:47:13	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0148.JPG	2016-10-11 23:26:50	System.Photo.DateTaken	2012-03-31 10:47:41	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0149.JPG	2016-10-11 23:26:50	System.Photo.DateTaken	2012-03-31 10:47:44	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0150.JPG	2016-10-11 23:26:50	System.Photo.DateTaken	2012-03-31 10:48:09	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0151.JPG	2016-10-11 23:26:50	System.Photo.DateTaken	2012-03-31 10:48:11	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0152.JPG	2016-10-11 23:26:50	System.Photo.DateTaken	2012-03-31 10:48:43	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0153.JPG	2016-10-11 23:26:50	System.Photo.DateTaken	2012-03-31 10:48:59	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0159.JPG	2016-10-11 23:26:50	System.Photo.DateTaken	2012-04-02 13:07:10	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0160.JPG	2016-10-11 23:26:50	System.Photo.DateTaken	2012-04-02 13:07:13	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0161.JPG	2016-10-11 23:26:50	System.Photo.DateTaken	2012-04-02 13:07:34	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0164.JPG	2016-10-11 23:26:50	None	None	None	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0165.JPG	2016-10-11 23:26:50	System.Photo.DateTaken	2012-04-02 15:12:48	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0166.JPG	2016-10-11 23:26:50	System.Photo.DateTaken	2012-04-02 15:12:50	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0167.JPG	2016-10-11 23:26:50	System.Photo.DateTaken	2012-04-02 15:12:56	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0180.JPG	2016-10-11 23:26:50	System.Photo.DateTaken	2012-05-04 21:24:33	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0181.JPG	2016-10-11 23:26:50	System.Photo.DateTaken	2012-05-04 21:24:42	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0182.JPG	2016-10-11 23:26:50	System.Photo.DateTaken	2012-05-04 21:24:56	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0183.JPG	2016-10-11 23:26:50	System.Photo.DateTaken	2012-05-04 21:25:26	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0185.JPG	2016-10-11 23:26:50	System.Photo.DateTaken	2012-05-10 19:53:05	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0187.JPG	2016-10-11 23:26:49	System.Photo.DateTaken	2012-05-10 19:55:30	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0188.JPG	2016-10-11 23:26:49	System.Photo.DateTaken	2012-05-10 19:55:37	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0189.JPG	2016-10-11 23:26:49	System.Photo.DateTaken	2012-05-10 19:55:40	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0190.JPG	2016-10-11 23:26:49	System.Photo.DateTaken	2012-05-11 19:10:06	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0191.JPG	2016-10-11 23:26:49	System.Photo.DateTaken	2012-05-11 19:10:10	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0193.JPG	2016-10-11 23:26:49	System.Photo.DateTaken	2012-05-11 19:10:17	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0194.JPG	2016-10-11 23:26:49	System.Photo.DateTaken	2012-05-11 19:10:17	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0195.JPG	2016-10-11 23:26:49	System.Photo.DateTaken	2012-05-11 19:10:36	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0196.JPG	2016-10-11 23:26:49	System.Photo.DateTaken	2012-05-11 19:11:19	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0197.JPG	2016-10-11 23:26:49	System.Photo.DateTaken	2012-05-11 21:49:03	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0198.JPG	2016-10-11 23:26:49	System.Photo.DateTaken	2012-05-11 21:49:35	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0199.JPG	2016-10-11 23:26:49	System.Photo.DateTaken	2012-05-11 21:49:45	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0200.JPG	2016-10-11 23:26:49	None	None	None	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0201.JPG	2016-10-11 23:26:49	None	None	None	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0203.JPG	2016-10-11 23:26:49	System.Photo.DateTaken	2012-05-14 20:15:29	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0207.JPG	2016-10-11 23:26:49	None	None	None	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0209.JPG	2016-10-11 23:26:49	None	None	None	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0210.JPG	2016-10-11 23:26:48	None	None	None	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0212.JPG	2016-10-11 23:26:48	None	None	None	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0215.JPG	2016-10-11 23:26:48	None	None	None	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0216.JPG	2016-10-11 23:26:48	None	None	None	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0217.JPG	2016-10-11 23:26:48	System.Photo.DateTaken	2012-06-10 20:41:53	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0218.JPG	2016-10-11 23:26:48	System.Photo.DateTaken	2012-06-10 20:47:43	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0219.JPG	2016-10-11 23:26:48	System.Photo.DateTaken	2012-06-10 20:47:52	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0220.JPG	2016-10-11 23:26:48	System.Photo.DateTaken	2012-06-10 20:48:00	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0221.JPG	2016-10-11 23:26:48	System.Photo.DateTaken	2012-06-10 20:48:06	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0222.JPG	2016-10-11 23:26:48	None	None	None	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0223.JPG	2016-10-11 23:26:48	System.Photo.DateTaken	2012-06-12 08:00:47	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0224.JPG	2016-10-11 23:26:48	System.Photo.DateTaken	2012-06-12 08:00:51	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0225.JPG	2016-10-11 23:26:48	System.Photo.DateTaken	2012-06-12 08:00:58	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0226.JPG	2016-10-11 23:26:48	System.Photo.DateTaken	2012-06-12 08:01:11	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0227.JPG	2016-10-11 23:26:48	System.Photo.DateTaken	2012-06-12 08:01:33	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0228.JPG	2016-10-11 23:26:48	System.Photo.DateTaken	2012-06-12 08:02:04	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0229.JPG	2016-10-11 23:26:47	System.Photo.DateTaken	2012-06-12 13:14:11	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0230.JPG	2016-10-11 23:26:47	System.Photo.DateTaken	2012-06-12 13:14:18	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0231.JPG	2016-10-11 23:26:47	System.Photo.DateTaken	2012-06-12 13:14:25	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0232.JPG	2016-10-11 23:26:47	System.Photo.DateTaken	2012-06-12 13:14:30	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0233.JPG	2016-10-11 23:26:47	System.Photo.DateTaken	2012-06-12 13:14:33	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0234.JPG	2016-10-11 23:26:47	System.Photo.DateTaken	2012-06-12 13:14:40	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0235.JPG	2016-10-11 23:26:47	System.Photo.DateTaken	2012-06-12 13:14:47	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0236.JPG	2016-10-11 23:26:47	None	None	None	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0237.JPG	2016-10-11 23:26:47	None	None	None	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0238.JPG	2016-10-11 23:26:47	None	None	None	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0239.JPG	2016-10-11 23:26:47	None	None	None	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0240.JPG	2016-10-11 23:26:47	None	None	None	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0242.JPG	2016-10-11 23:26:47	System.Photo.DateTaken	2012-06-20 21:56:14	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0243.JPG	2016-10-11 23:26:47	None	None	None	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0244.JPG	2016-10-11 23:26:47	System.Photo.DateTaken	2012-06-20 22:37:00	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0246.JPG	2016-10-11 23:26:47	None	None	None	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0247.JPG	2016-10-11 23:26:47	None	None	None	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0249.JPG	2016-10-11 23:26:46	System.Photo.DateTaken	2012-06-22 18:53:37	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0250.JPG	2016-10-11 23:26:46	System.Photo.DateTaken	2012-06-22 18:53:40	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0251.JPG	2016-10-11 23:26:46	System.Photo.DateTaken	2012-06-22 18:53:42	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0252.JPG	2016-10-11 23:26:46	System.Photo.DateTaken	2012-06-22 18:55:47	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0253.JPG	2016-10-11 23:26:46	System.Photo.DateTaken	2012-06-22 18:55:49	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0254.JPG	2016-10-11 23:26:46	System.Photo.DateTaken	2012-06-22 18:55:52	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0258.JPG	2016-10-11 23:26:46	System.Photo.DateTaken	2012-06-23 11:19:57	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0259.JPG	2016-10-11 23:26:46	System.Photo.DateTaken	2012-06-23 19:12:53	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0260.JPG	2016-10-11 23:26:46	System.Photo.DateTaken	2012-06-23 19:12:57	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0261.JPG	2016-10-11 23:26:46	System.Photo.DateTaken	2012-06-23 19:13:20	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0262.JPG	2016-10-11 23:26:46	System.Photo.DateTaken	2012-06-23 19:13:23	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0263.JPG	2016-10-11 23:26:46	System.Photo.DateTaken	2012-06-24 11:21:38	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0265.JPG	2016-10-11 23:26:46	None	None	None	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0276.JPG	2016-10-11 23:26:46	System.Photo.DateTaken	2012-06-30 13:01:20	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0283.JPG	2016-10-11 23:26:46	System.Photo.DateTaken	2012-06-30 13:20:39	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0284.JPG	2016-10-11 23:26:46	System.Photo.DateTaken	2012-06-30 14:15:56	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0285.JPG	2016-10-11 23:26:46	System.Photo.DateTaken	2012-06-30 14:16:12	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0286.JPG	2016-10-11 23:26:45	System.Photo.DateTaken	2012-06-30 14:16:30	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0287.JPG	2016-10-11 23:26:45	System.Photo.DateTaken	2012-06-30 14:16:42	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0288.JPG	2016-10-11 23:26:45	System.Photo.DateTaken	2012-06-30 14:16:44	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0289.JPG	2016-10-11 23:26:45	System.Photo.DateTaken	2012-06-30 14:16:58	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0290.JPG	2016-10-11 23:26:45	System.Photo.DateTaken	2012-06-30 14:16:59	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0294.JPG	2016-10-11 23:26:45	None	None	None	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0296.JPG	2016-10-11 23:26:45	System.Photo.DateTaken	2012-07-07 19:37:48	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0298.JPG	2016-10-11 23:26:45	System.Photo.DateTaken	2012-07-07 21:43:10	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0305.JPG	2016-10-11 23:26:45	System.Photo.DateTaken	2012-07-17 14:17:27	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0308.JPG	2016-10-11 23:26:45	System.Photo.DateTaken	2012-07-17 15:53:10	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0309.JPG	2016-10-11 23:26:45	System.Photo.DateTaken	2012-07-20 17:58:53	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0311.JPG	2016-10-11 23:26:45	System.Photo.DateTaken	2012-07-20 17:59:01	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0313.JPG	2016-10-11 23:26:45	System.Photo.DateTaken	2012-07-22 16:41:55	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0315.JPG	2016-10-11 23:26:45	System.Photo.DateTaken	2012-07-25 08:54:51	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0316.JPG	2016-10-11 23:26:45	System.Photo.DateTaken	2012-07-25 08:54:57	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0317.JPG	2016-10-11 23:26:45	System.Photo.DateTaken	2012-07-25 08:55:16	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0318.JPG	2016-10-11 23:26:45	System.Photo.DateTaken	2012-07-25 08:55:18	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0320.JPG	2016-10-11 23:26:45	System.Photo.DateTaken	2012-07-25 10:00:43	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0322.JPG	2016-10-11 23:26:45	None	None	None	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0323.JPG	2016-10-11 23:26:45	System.Photo.DateTaken	2012-07-25 16:24:31	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0324.JPG	2016-10-11 23:26:45	System.Photo.DateTaken	2012-07-25 16:24:42	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0325.JPG	2016-10-11 23:26:45	System.Photo.DateTaken	2012-07-25 16:24:44	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0326.JPG	2016-10-11 23:26:45	System.Photo.DateTaken	2012-07-25 16:24:46	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0328.JPG	2016-10-11 23:26:45	System.Photo.DateTaken	2012-07-25 16:25:48	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0329.JPG	2016-10-11 23:26:45	System.Photo.DateTaken	2012-07-25 16:38:24	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0330.JPG	2016-10-11 23:26:45	System.Photo.DateTaken	2012-07-25 16:39:35	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0331.JPG	2016-10-11 23:26:45	System.Photo.DateTaken	2012-07-25 16:40:01	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0332.JPG	2016-10-11 23:26:45	System.Photo.DateTaken	2012-07-25 16:40:03	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0333.JPG	2016-10-11 23:26:45	System.Photo.DateTaken	2012-07-25 16:40:34	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0334.JPG	2016-10-11 23:26:45	System.Photo.DateTaken	2012-07-25 16:40:42	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0335.JPG	2016-10-11 23:26:44	System.Photo.DateTaken	2012-07-25 16:40:54	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0336.JPG	2016-10-11 23:26:44	System.Photo.DateTaken	2012-07-25 16:40:55	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0337.JPG	2016-10-11 23:26:44	System.Photo.DateTaken	2012-07-25 16:41:20	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0338.JPG	2016-10-11 23:26:44	System.Photo.DateTaken	2012-07-25 16:41:28	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0339.JPG	2016-10-11 23:26:44	System.Photo.DateTaken	2012-07-25 16:41:30	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0340.JPG	2016-10-11 23:26:44	System.Photo.DateTaken	2012-07-25 16:46:45	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0341.JPG	2016-10-11 23:26:44	System.Photo.DateTaken	2012-07-25 16:46:48	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0342.JPG	2016-10-11 23:26:44	System.Photo.DateTaken	2012-07-25 16:46:53	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0343.JPG	2016-10-11 23:26:44	System.Photo.DateTaken	2012-07-25 16:46:58	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0345.JPG	2016-10-11 23:26:44	System.Photo.DateTaken	2012-08-10 21:49:24	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0347.JPG	2016-10-11 23:26:44	System.Photo.DateTaken	2012-08-15 22:04:40	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0349.JPG	2016-10-11 23:26:44	System.Photo.DateTaken	2012-08-15 22:05:25	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0350.JPG	2016-10-11 23:26:44	System.Photo.DateTaken	2012-08-15 22:05:29	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0352.JPG	2016-10-11 23:26:44	None	None	None	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0353.JPG	2016-10-11 23:26:44	None	None	None	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0374.JPG	2016-10-11 23:26:44	System.Photo.DateTaken	2012-09-11 21:42:33	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0375.JPG	2016-10-11 23:26:44	System.Photo.DateTaken	2012-09-11 21:42:58	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0377.JPG	2016-10-11 23:26:44	None	None	None	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0386.JPG	2016-10-11 23:26:44	System.Photo.DateTaken	2012-09-15 22:41:22	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0387.JPG	2016-10-11 23:26:44	System.Photo.DateTaken	2012-09-15 22:42:49	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0389.JPG	2016-10-11 23:26:44	System.Photo.DateTaken	2012-09-28 22:27:42	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0390.JPG	2016-10-11 23:26:44	System.Photo.DateTaken	2012-10-10 20:24:39	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0393.JPG	2016-10-11 23:26:44	System.Photo.DateTaken	2012-10-10 20:56:29	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0395.JPG	2016-10-11 23:26:44	None	None	None	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0396.JPG	2016-10-11 23:26:44	None	None	None	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0397.JPG	2016-10-11 23:26:44	System.Photo.DateTaken	2012-10-18 21:54:39	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0398.JPG	2016-10-11 23:26:44	System.Photo.DateTaken	2012-10-18 21:55:05	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0399.JPG	2016-10-11 23:26:44	None	None	None	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0404.JPG	2016-10-11 23:26:44	System.Photo.DateTaken	2012-10-20 22:26:46	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0405.JPG	2016-10-11 23:26:44	System.Photo.DateTaken	2012-10-20 22:27:12	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0406.JPG	2016-10-11 23:26:44	System.Photo.DateTaken	2012-10-25 23:43:34	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0407.JPG	2016-10-11 23:26:44	System.Photo.DateTaken	2012-10-26 19:18:32	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0408.JPG	2016-10-11 23:26:43	System.Photo.DateTaken	2012-10-26 19:49:47	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0409.JPG	2016-10-11 23:26:43	System.Photo.DateTaken	2012-10-26 19:49:56	Success	
\\personalcloud.local\Public\Miki iPad\相機膠捲\IMG_0410.JPG	2016-10-11 23:26:43	System.Photo.DateTaken	2012-10-26 20:56:20	Success	
